ds,actual,baseline,lower_95,upper_95,lift_abs,lift_pct,period
2024-11-05,2588.0,1373.35,1275.01,1373.35,1214.65,88.44,event
2024-11-06,2451.0,1234.71,1125.97,1234.71,1216.29,98.51,event
2024-11-07,2003.0,1159.64,1060.85,1159.64,843.36,72.73,event
2024-11-08,2280.0,1203.27,1109.95,1216.66,1076.73,89.48,event
2024-11-09,2334.0,1319.4,1230.4,1319.4,1014.6,76.9,event
2024-11-10,2530.0,1433.05,1338.86,1433.05,1096.95,76.55,event
2024-11-11,2737.0,1451.36,1357.31,1451.36,1285.64,88.58,event
2024-11-12,2564.0,1385.92,1294.54,1385.92,1178.08,85.0,event
2024-11-13,2017.0,1247.75,1146.18,1247.75,769.25,61.65,post-event
2024-11-14,2314.0,1173.16,1081.73,1173.16,1140.84,97.24,post-event
2024-11-15,2357.0,1217.34,1131.51,1217.34,1139.67,93.62,post-event
2024-11-16,2285.0,1334.04,1252.64,1334.04,950.96,71.28,post-event
2024-11-17,2646.0,1448.3,1361.81,1448.3,1197.7,82.7,post-event
2024-11-18,2717.0,1467.22,1380.92,1467.22,1249.78,85.18,post-event
2024-11-19,2544.0,1402.42,1318.81,1402.42,1141.58,81.4,post-event
2024-11-20,2200.0,1265.18,1171.38,1265.18,934.82,73.89,post-event
2024-11-21,2043.0,1191.01,1107.3,1191.01,851.99,71.53,post-event
2024-11-22,2193.0,1235.87,1157.7,1235.87,957.13,77.45,post-event
2024-11-23,2580.0,1353.24,1279.39,1353.24,1226.76,90.65,post-event
2024-11-24,2706.0,1468.18,1389.11,1468.18,1237.82,84.31,post-event
2024-11-25,2633.0,1487.73,1408.71,1487.73,1145.27,76.98,post-event
2024-11-26,2657.0,1423.65,1347.15,1423.65,1233.35,86.63,post-event
2024-11-27,1911.0,1287.07,1200.18,1287.07,623.93,48.48,post-event
2024-11-28,2344.0,1213.52,1136.51,1213.52,1130.48,93.16,post-event
2024-11-29,1988.0,1259.01,1187.32,1259.01,728.99,57.9,post-event
2024-11-30,2402.0,1376.97,1309.36,1376.97,1025.03,74.44,post-event
2024-12-01,2509.0,1492.46,1419.37,1492.46,1016.54,68.11,post-event
2024-12-02,2542.0,1512.58,1439.29,1512.58,1029.42,68.06,post-event
2024-12-03,2755.0,1448.93,1377.9,1448.93,1306.07,90.14,post-event
2024-12-04,2295.0,1312.53,1230.83,1312.53,982.47,74.85,post-event
2024-12-05,2273.0,1239.65,1167.57,1239.65,1033.35,83.36,post-event
2024-12-06,1271.0,1285.28,1218.24,1285.28,-14.28,-1.11,post-event
2024-12-07,1433.0,1403.8,1340.62,1403.8,29.2,2.08,post-event
2024-12-08,1522.0,1519.57,1450.66,1519.57,2.43,0.16,post-event
2024-12-09,1446.0,1539.92,1470.56,1539.92,-93.92,-6.1,post-event
2024-12-10,1551.0,1476.45,1409.14,1476.45,74.55,5.05,post-event
2024-12-11,1305.0,1340.2,1262.03,1340.2,-35.2,-2.63,post-event
2024-12-12,1143.0,1267.44,1198.71,1267.44,-124.44,-9.82,post-event
2024-12-13,1266.0,1313.31,1249.47,1313.31,-47.31,-3.6,post-event
